,CM,GENDER,AGE
242,[4.01387218 4.29328299 4.72308369 ... 0.         6.7269923  6.04612195],F,29
243,[0.         4.71779838 0.         ... 6.65484578 0.         6.24132661],F,36
244,[3.13136125 4.95640987 4.92599712 ... 0.         5.83941474 5.93364221],F,30
245,[0.         0.         0.         ... 0.         0.         7.98315726],M,33
246,[1.94058134 0.         0.         ... 0.         3.70150105 5.0815333 ],M,24
247,[0.         0.         0.         ... 0.         3.79104688 0.        ],M,33
248,[3.16918377 5.4333828  2.65174318 ... 0.         5.89793961 3.56319911],M,29
249,[2.21461001 3.09730865 0.         ... 0.         5.31396957 5.81868295],M,32
250,[0.         0.         0.         ... 0.         8.38683523 6.93210566],F,32
251,[2.5790162  4.35059027 2.5707218  ... 0.         4.62378759 3.76015391],M,29
252,[3.9723387  4.50955647 4.37095568 ... 0.         6.57599746 6.25662813],F,27
253,[2.22917356 5.20735242 3.04802845 ... 0.         5.27016296 4.5895347 ],M,31
254,[4.83873894 5.79231389 4.75291529 ... 0.         6.18289532 6.35352704],M,29
255,[4.2358578  5.57252032 4.11254325 ... 0.         4.51479647 0.        ],M,32
256,[0.         7.1825908  0.         ... 0.         0.         5.12978956],F,28
257,[3.96428384 5.46617523 4.50552117 ... 0.         3.86133688 5.39380831],F,31
258,[5.00539219 0.         0.         ... 0.         5.77637059 5.92115799],F,30
259,[3.50008602 5.65018511 4.81730972 ... 0.         5.72021637 5.57541989],F,27
260,[0. 0. 0. ... 0. 0. 0.],M,26
261,[0.         5.19418556 4.06451093 ... 0.         7.10708377 5.8839285 ],F,31
262,[6.21600492 4.27620291 3.32471594 ... 0.         6.46032432 6.1395048 ],F,28
263,[3.2888305  5.25516886 0.         ... 0.         7.63416511 6.95956141],F,26
264,[3.66738683 4.25756918 2.76575689 ... 6.76043497 4.11522161 5.0794633 ],M,25
265,[3.62177275 4.16659035 3.54750252 ... 0.         5.94949274 5.1149108 ],M,28
266,[3.58774336 4.94315305 4.71139867 ... 0.         4.19696134 4.13424056],M,35
267,[4.05390339 2.62911485 2.77003608 ... 0.         4.97862868 5.26322762],F,34
268,[3.84222325 5.07980817 4.4871863  ... 0.         5.85078531 5.06636817],M,32
269,[1.75962609 2.00512754 3.35179227 ... 0.         6.4550822  6.58195609],M,28
270,[0.         5.05517694 0.         ... 0.         4.76577674 5.39725056],M,24
271,[4.1873241  0.         0.         ... 0.         0.         6.99568821],F,29
272,[0.         3.82686516 0.         ... 0.         4.19251226 3.89986435],M,24
273,[3.43220694 5.42787109 3.96876536 ... 0.         6.14653522 6.48775384],M,27
274,[3.04342483 3.36750869 2.99043308 ... 0.         5.37044198 4.39442519],M,27
275,[2.35803357 4.66505311 4.43730393 ... 0.         5.81770698 5.35625895],M,35
276,[4.22006362 3.66131866 3.2291858  ... 0.         5.90838433 4.92333562],F,28
277,[4.02121824 4.6669003  5.77769875 ... 0.         4.70587073 4.44461663],M,32
278,[0.         5.95573398 2.4466283  ... 0.         6.50771235 6.43781201],F,30
279,[1.66252012 2.10692234 2.42195948 ... 0.         6.02777383 5.26039681],F,33
280,[3.10578916 3.90490662 3.96212482 ... 0.         6.65028727 6.43535341],F,30
281,[3.10461378 3.18255382 3.2393791  ... 0.         5.32785926 4.54667937],F,26
282,[2.63029456 5.44299598 5.89478584 ... 0.         0.         6.53591513],M,26
283,[3.30616537 4.408777   3.57663113 ... 0.         6.41728931 6.302978  ],M,32
284,[4.48557087 5.12715947 0.         ... 0.         7.06463434 7.12278719],F,22
285,[3.5189789  5.56110756 3.04557486 ... 0.         5.31270728 4.59741002],F,28
286,[0.         5.56823076 5.35609252 ... 0.         5.98479322 6.53229948],M,23
287,[4.15586727 2.5868683  3.05464649 ... 0.         4.64854611 4.73898455],F,33
288,[5.03053661 5.91800082 5.39227917 ... 0.         6.56199452 6.28031083],F,29
289,[3.52437236 3.24879883 2.23428625 ... 0.         3.08383819 3.59735481],M,22
290,[3.18274376 2.98575149 3.15045916 ... 0.         5.14342339 4.40351351],F,29
291,[2.98555316 3.6891222  2.88782778 ... 0.         4.33803261 5.67672245],M,29
292,[2.2494     2.99926444 4.08230131 ... 0.         5.12486418 5.54240424],F,33
293,[3.34006384 5.2303467  3.40394313 ... 0.         5.60797509 5.59904197],F,28
294,[3.6822337  4.86086962 2.40072073 ... 0.         5.89339012 4.12377215],M,27
295,[0.         0.         0.         ... 0.         0.         4.40577399],F,33
296,[0. 0. 0. ... 0. 0. 0.],M,28
